TWTR,-23,32.01
TWTR,-22,34.98
TWTR,-21,39.57
TWTR,-20,39.32
TWTR,-19,37.82
TWTR,-18,43.96
TWTR,-17,45.49
TWTR,-16,50.4
TWTR,-15,51.66
TWTR,-14,52.5
TWTR,-13,50.02
TWTR,-12,43.88
TWTR,-11,40.55
TWTR,-10,39.85
TWTR,-9,36.63
TWTR,-8,36.94
TWTR,-7,38.6
TWTR,-6,38.4
TWTR,-5,46.34
TWTR,-4,48.44
TWTR,-3,46.81
TWTR,-2,49.62
TWTR,-1,51.67
TWTR,0,47.87
TWTR,1,48.99
TWTR,2,49.02
