1,GOOG,Google
2,YHOO,Yahoo!
3,AAPL,Apple Inc.
4,FB,Facebook, Inc.
5,MSFT,Microsoft Corporation
6,AMZN,Amazon.com, Inc.
7,SNE,Sony Corporation
8,WMT,Walmart
9,CAJ,Canon Inc.
10,TWTR,Twitter Inc.
